Kind,Name,AvgCyclomatic,CountLine,CountLineCode,CountLineComment,RatioCommentToCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,MaxNesting,MaxCyclomatic,Cyclomatic
File,"CliUtils.java",2,156,120,21,0.17,22,,,2,3,
File,"ClingSupport.java",2,105,61,31,0.51,8,,,2,4,
File,"CollectMojo.java",4,128,61,51,0.84,4,,,3,4,
File,"CommonsCliEncryptOptions.java",2,137,101,23,0.23,18,,,4,6,
File,"CommonsCliMavenOptions.java",2,395,344,19,0.06,57,,,4,6,
File,"CommonsCliOptions.java",2,497,423,25,0.06,62,,,3,8,
File,"CommonsCliShellOptions.java",2,85,55,22,0.40,11,,,4,6,
File,"ComparableVersion.java",3,852,590,142,0.24,154,,,5,18,
File,"ComparableVersionIT.java",2,75,49,18,0.37,6,,,2,3,
File,"ComparableVersionTest.java",1,488,370,79,0.21,37,,,2,4,
File,"CompileMojo.java",4,84,35,38,1.09,4,,,1,4,
File,"CompileMojo.java",2,69,22,41,1.86,2,,,1,2,
File,"CompileMojo.java",2,86,27,52,1.93,2,,,1,2,
File,"CompileRuntimeMojo.java",2,113,36,67,1.86,2,,,1,2,
File,"CompletionServiceStub.java",1,76,45,20,0.44,9,,,1,2,
File,"ComplexActivationTest.java",1,58,29,20,0.69,2,,,0,1,
File,"ComplexActivationTest.java",1,88,58,21,0.36,5,,,0,1,
File,"CompoundMojoExecutionListener.java",2,51,25,19,0.76,7,,,1,2,
File,"CompoundProjectExecutionListener.java",2,61,35,19,0.54,9,,,1,2,
File,"ConcreteTestComponent.java",1,34,8,23,2.88,1,,,0,1,
File,"ConcurrencyDependencyGraph.java",2,143,70,57,0.81,15,,,2,4,
File,"ConcurrencyDependencyGraphTest.java",1,91,45,27,0.60,1,,,0,1,
File,"ConcurrencyDependencyGraphTest.java",1,101,69,20,0.29,2,,,0,1,
File,"ConcurrentLifecycleStarter.java",2,202,146,24,0.16,22,,,3,6,
File,"ConditionFunctions.java",2,240,106,117,1.10,27,,,1,3,
File,"ConditionParser.java",4,636,378,240,0.63,92,,,4,16,
File,"ConditionParserTest.java",1,299,241,22,0.09,42,,,1,2,
File,"ConditionProfileActivator.java",3,197,109,71,0.65,23,,,4,7,
File,"ConditionProfileActivatorTest.java",1,474,359,23,0.06,43,,,0,1,
File,"Config.java",0,103,21,75,3.57,0,,,0,0,
File,"ConfigMojo.java",4,310,131,137,1.05,7,,,1,4,
File,"ConfigurationProcessor.java",0,29,6,21,3.50,0,,,0,0,
File,"ConfigurationProcessorOne.java",1,35,14,18,1.29,1,,,0,1,
File,"ConfigurationProcessorTwo.java",1,28,8,18,2.25,1,,,0,1,
File,"ConfiguredGoalSupport.java",2,97,68,21,0.31,16,,,2,8,
