File,Number of Changes
toqito/matrix_ops/vectors_to_gram_matrix.py,10
toqito/matrix_props/has_same_dimension.py,6
toqito/matrix_props/is_anti_hermitian.py,4
toqito/matrix_props/is_circulant.py,8
toqito/matrix_props/is_commuting.py,10
toqito/matrix_props/is_density.py,13
toqito/matrix_props/is_diagonal.py,11
toqito/matrix_props/is_diagonally_dominant.py,15
toqito/matrix_props/is_hermitian.py,9
toqito/matrix_props/is_idempotent.py,10
toqito/matrix_props/is_identity.py,9
toqito/matrix_props/is_linearly_independent.py,6
toqito/matrix_props/is_nonnegative.py,3
toqito/matrix_props/is_normal.py,9
toqito/matrix_props/is_orthonormal.py,11
toqito/matrix_props/is_permutation.py,24
toqito/matrix_props/is_positive.py,3
toqito/matrix_props/is_positive_semidefinite.py,8
toqito/matrix_props/is_projection.py,12
toqito/matrix_props/is_square.py,10
toqito/matrix_props/is_symmetric.py,9
toqito/matrix_props/is_totally_positive.py,10
toqito/matrix_props/is_unitary.py,11
toqito/matrix_props/kp_norm.py,13
toqito/matrix_props/positive_semidefinite_rank.py,9
toqito/matrix_props/spark.py,7
toqito/matrix_props/trace_norm.py,11
toqito/measurement_ops/__init__.py,3
toqito/measurement_props/__init__.py,3
toqito/measurements/__init__.py,5
toqito/perms/__init__.py,7
toqito/perms/antisymmetric_projection.py,26
toqito/perms/perfect_matchings.py,20
toqito/perms/perm_sign.py,24
toqito/perms/permutation_operator.py,27
toqito/perms/permute_systems.py,42
toqito/perms/swap.py,37
toqito/perms/swap_operator.py,24
toqito/perms/symmetric_projection.py,32
toqito/perms/unique_perms.py,18
toqito/state_metrics/__init__.py,13
toqito/state_metrics/bures_angle.py,11
toqito/state_metrics/bures_distance.py,25
toqito/state_metrics/fidelity.py,18
toqito/state_metrics/fidelity_of_separability.py,24
toqito/state_metrics/helstrom_holevo.py,16
toqito/state_metrics/hilbert_schmidt.py,17
toqito/state_metrics/hilbert_schmidt_inner_product.py,17
toqito/state_metrics/sub_fidelity.py,15
toqito/state_metrics/trace_distance.py,19
toqito/state_ops/schmidt_decomposition.py,21
toqito/state_opt/symmetric_extension_hierarchy.py,28
toqito/state_props/is_distinguishable.py,8
toqito/state_props/is_ensemble.py,10
toqito/state_props/is_mixed.py,12
toqito/state_props/is_mutually_orthogonal.py,12
toqito/state_props/is_mutually_unbiased_basis.py,20
toqito/state_props/is_npt.py,11
toqito/state_props/is_ppt.py,19
toqito/state_props/is_product.py,18
toqito/state_props/is_pure.py,13
toqito/state_props/purity.py,13
toqito/state_props/schmidt_rank.py,20
toqito/state_props/von_neumann_entropy.py,14
toqito/state_props/concurrence.py,16
toqito/states/gen_bell.py,17
toqito/states/gisin.py,11
toqito/states/horodecki.py,14
toqito/states/isotropic.py,15
toqito/states/max_entangled.py,19
toqito/states/max_mixed.py,16
toqito/states/mutually_unbiased_basis.py,11
toqito/states/singlet.py,15
toqito/states/trine.py,8
toqito/states/w_state.py,20
toqito/states/werner.py,19
docs/_static/custom.css,2
toqito/states/basis.py,14
toqito/states/breuer.py,13
toqito/states/brauer.py,14
toqito/states/bell.py,17
toqito/states/bb84.py,10
toqito/states/__init__.py,18
docs/tutorials.state_exclusion.rst,16
docs/figures/trine.png,1
toqito/matrix_props/tests/test_sk_norm.py,5
