File,Number of Changes
Source/Components/ImageGlass.Base/App.cs,33
Source/Components/ImageGlass.Base/BHelper/Extensions/BitmapExtensions.cs,3
Source/Components/ImageGlass.Base/BHelper/Extensions/ColorExtensions.cs,6
Source/Components/ImageGlass.Base/BHelper/Extensions/ControlExtensions.cs,3
Source/Components/ImageGlass.Base/BHelper/Extensions/DateTimeExtensions.cs,3
Source/Components/ImageGlass.Base/BHelper/Extensions/ExpandoObjectExtensions.cs,6
Source/Components/ImageGlass.Base/BHelper/Extensions/GraphicsExtensions.cs,3
Source/Components/ImageGlass.Base/BHelper/Extensions/ID2D1Bitmap1Extensions.cs,7
Source/Components/ImageGlass.Base/BHelper/Extensions/ID2D1EffectExtensions.cs,5
Source/Components/ImageGlass.Base/BHelper/Extensions/NumberExtensions.cs,3
Source/Components/ImageGlass.Base/BHelper/Extensions/StringExtensions.cs,5
Source/Components/ImageGlass.Base/BHelper/Format.cs,7
Source/Components/ImageGlass.Base/BHelper/General.cs,16
Source/Components/ImageGlass.Base/BHelper/JsonEx.cs,7
Source/Components/ImageGlass.Base/BHelper/Photoing.cs,19
Source/Components/ImageGlass.Base/BHelper/ProcessHelper.cs,10
Source/Components/ImageGlass.Base/BHelper/ThemeUtils.cs,4
Source/Components/ImageGlass.Base/BHelper/TypeConversion.cs,3
Source/Components/ImageGlass.Base/BHelper/Visual.cs,4
Source/Components/ImageGlass.Base/Cache/DiskCache.cs,6
Source/Components/ImageGlass.Base/Cache/StringCache.cs,5
Source/Components/ImageGlass.Base/Colors/DarkColors.cs,4
Source/Components/ImageGlass.Base/Colors/IColors.cs,3
Source/Components/ImageGlass.Base/Colors/LightColors.cs,4
Source/Components/ImageGlass.Base/DirectoryComparer/Comparers.cs,3
Source/Components/ImageGlass.Base/EditApps/AfterEditAppAction.cs,3
Source/Components/ImageGlass.Base/EditApps/EditApp.cs,4
Source/Components/ImageGlass.Base/IgTool.cs,4
Source/Components/ImageGlass.Base/ImageInfo/ImageInfo.cs,5
Source/Components/ImageGlass.Base/ImageInfo/ImageInfoUpdateTypes.cs,3
Source/Components/ImageGlass.Base/InstanceManagement/ArgsReceivedEventArgs.cs,4
Source/Components/ImageGlass.Base/InstanceManagement/SingleInstance.cs,6
Source/Components/ImageGlass.Base/Language/IgLangModels.cs,7
Source/Components/ImageGlass.Base/LocalEvents.cs,7
Source/Components/ImageGlass.Base/Photoing/Animators/AnimatedImgAnimator.cs,3
Source/Components/ImageGlass.Base/Photoing/Animators/ImgAnimator.cs,5
Source/Components/ImageGlass.Base/Photoing/Codecs/AnimatedImg.cs,7
Source/Components/ImageGlass.Base/Photoing/Codecs/AnimatedImgFrame.cs,4
Source/Components/ImageGlass.Base/Photoing/Codecs/CodecReadOptions.cs,7
Source/Components/ImageGlass.Base/Photoing/Codecs/IgImgData.cs,9
Source/Components/ImageGlass.Base/Photoing/Codecs/IgMagickReadData.cs,4
Source/Components/ImageGlass.Base/Photoing/Codecs/IgMetadata.cs,8
Source/Components/ImageGlass.Base/Photoing/Codecs/IgPhoto.cs,8
Source/Components/ImageGlass.Base/Photoing/Services/ImageBooster.cs,11
Source/Components/ImageGlass.Base/QueuedWorker/DebounceDispatcher.cs,2
Source/Components/ImageGlass.Base/QueuedWorker/Events/QueuedWorkerCompletedEventArgs.cs,3
Source/Components/ImageGlass.Base/QueuedWorker/Events/QueuedWorkerDoWorkEventArgs.cs,3
Source/Components/ImageGlass.Base/QueuedWorker/ProcessingModeEnum.cs,3
Source/Components/ImageGlass.Base/Types/Const.cs,7
