Name of Repo,Language,Avg Number of Changes Per File
openoffice,Java,2.599873689528862
lucene,Java,6.052374784110535
maven,Java,3.903258125275518
OpenBB,Python,3.9497328980560913
toqito,Python,6.107078039927405
ShareX,C#,7.440957524448986
ImageGlass,C#,4.4175249807840125
