File,Number of Changes
lucene/analysis/icu/src/resources/org/apache/lucene/analysis/icu/segmentation/Default.brk,15
lucene/analysis/icu/src/resources/org/apache/lucene/analysis/icu/segmentation/MyanmarSyllable.brk,11
lucene/analysis/icu/src/resources/org/apache/lucene/analysis/icu/utr30.nrm,18
lucene/core/src/generated/checksums/generateUnicodeProps.json,2
lucene/core/src/java/org/apache/lucene/util/automaton/CaseFolding.java,3
lucene/licenses/icu4j-74.2.jar.sha1,2
lucene/licenses/icu4j-77.1.jar.sha1,1
gradle/hacks/wipe-temp.gradle,3
gradle/generation/icu.gradle,17
gradle/generation/icu/GenerateCaseFolding.groovy,1
lucene/core/src/test/org/apache/lucene/util/automaton/TestRegExp.java,22
lucene/core/src/test/org/apache/lucene/index/TestKnnGraph.java,53
lucene/core/src/java/org/apache/lucene/util/FixedLengthBytesRefArray.java,5
lucene/core/src/test/org/apache/lucene/util/TestFixedLengthBytesRefArray.java,4
lucene/core/src/java/org/apache/lucene/codecs/lucene99/Lucene99HnswVectorsWriter.java,28
lucene/core/src/java/org/apache/lucene/util/hnsw/ConcurrentHnswMerger.java,7
lucene/core/src/java/org/apache/lucene/util/hnsw/IncrementalHnswGraphMerger.java,9
lucene/core/src/java/org/apache/lucene/util/hnsw/MergingHnswGraphBuilder.java,1
lucene/core/src/java/org/apache/lucene/search/comparators/NumericComparator.java,26
lucene/core/src/java/org/apache/lucene/util/DocIdSetBuilder.java,27
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/Completion101PostingsFormat.java,2
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/Completion50PostingsFormat.java,8
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/Completion84PostingsFormat.java,5
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/Completion90PostingsFormat.java,3
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/Completion912PostingsFormat.java,3
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/Completion99PostingsFormat.java,3
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/CompletionFieldsProducer.java,11
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/CompletionPostingsFormat.java,9
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/CompletionsTermsReader.java,7
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/NRTSuggester.java,24
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/NRTSuggesterBuilder.java,14
lucene/suggest/src/test/org/apache/lucene/search/suggest/document/TestSuggestField.java,51
lucene/core/src/java/org/apache/lucene/util/quantization/OptimizedScalarQuantizer.java,2
lucene/core/src/test/org/apache/lucene/util/quantization/TestOptimizedScalarQuantizer.java,2
lucene/backward-codecs/src/java/org/apache/lucene/backward_codecs/lucene912/Lucene912PostingsReader.java,3
lucene/core/src/java/org/apache/lucene/codecs/lucene90/Lucene90PointsFormat.java,3
lucene/core/src/java/org/apache/lucene/util/bkd/DocIdsWriter.java,20
lucene/core/src/java/org/apache/lucene/search/DisjunctionDISIApproximation.java,11
lucene/core/src/test/org/apache/lucene/search/TestDisjunctionDISIApproximation.java,1
lucene/core/src/java/org/apache/lucene/codecs/lucene90/Lucene90PointsWriter.java,7
lucene/core/src/java/org/apache/lucene/util/bkd/BKDReader.java,53
lucene/core/src/test/org/apache/lucene/codecs/lucene90/TestLucene90PointsFormatV0.java,1
lucene/core/src/test/org/apache/lucene/util/bkd/TestDocIdsWriter.java,17
lucene/core/src/java/org/apache/lucene/document/LongDistanceFeatureQuery.java,12
.github/workflows/verify-changelog-and-set-milestone.yml,5
lucene/core/src/java/org/apache/lucene/search/PointRangeQuery.java,65
lucene/core/src/java/org/apache/lucene/util/bkd/BKDConfig.java,4
lucene/core/src/test/org/apache/lucene/util/bkd/TestBKDConfig.java,2
lucene/core/src/java/org/apache/lucene/search/BlockMaxConjunctionBulkScorer.java,12
gradle/validation/rat-sources.gradle,23
lucene/analysis/common/src/java/org/apache/lucene/analysis/compound/DictionaryCompoundWordTokenFilter.java,12
lucene/analysis/common/src/java/org/apache/lucene/analysis/compound/DictionaryCompoundWordTokenFilterFactory.java,23
lucene/analysis/common/src/test/org/apache/lucene/analysis/compound/TestCompoundWordTokenFilter.java,30
dev-tools/scripts/Makefile,3
dev-tools/scripts/addBackcompatIndexes.py,24
dev-tools/scripts/addVersion.py,30
dev-tools/scripts/buildAndPushRelease.py,69
dev-tools/scripts/create_line_file_docs.py,5
dev-tools/scripts/diff_lucene_changes.py,4
dev-tools/scripts/githubPRs.py,8
dev-tools/scripts/pyproject.toml,4
dev-tools/scripts/releaseWizard.py,30
dev-tools/scripts/releasedJirasRegex.py,7
dev-tools/scripts/reproduceJenkinsFailures.py,21
dev-tools/scripts/scriptutil.py,20
dev-tools/scripts/smokeTestRelease.py,196
