File,Number of Changes
its/core-it-suite/src/test/resources/mng-8653/child-1/pom.xml,1
its/core-it-suite/src/test/resources/mng-8653/child-2/pom.xml,1
its/core-it-suite/src/test/resources/mng-8653/pom.xml,1
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng5668AfterPhaseExecutionTest.java,1
its/core-it-suite/src/test/resources/mng-5668-after-phase-execution/pom.xml,1
impl/maven-di/pom.xml,11
impl/maven-di/src/main/java/org/apache/maven/di/impl/InjectorImpl.java,3
impl/maven-di/src/test/java/org/apache/maven/di/impl/InjectorImplTest.java,3
compat/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/DefaultArtifactVersion.java,3
compat/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java,2
compat/maven-embedder/src/main/java/org/apache/maven/cli/CleanArgument.java,3
compat/maven-model-builder/src/test/java/org/apache/maven/model/building/FileToRawModelMergerTest.java,4
impl/maven-cli/src/main/java/org/apache/maven/cling/invoker/CleanArgument.java,2
impl/maven-core/src/main/java/org/apache/maven/lifecycle/internal/concurrent/BuildPlan.java,3
impl/maven-impl/src/main/java/org/apache/maven/impl/model/DefaultInterpolator.java,2
impl/maven-testing/pom.xml,84
impl/maven-testing/src/main/java/org/apache/maven/api/di/testing/MavenDITest.java,2
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/Basedir.java,2
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/InjectMojo.java,4
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/MojoExtension.java,12
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/MojoParameter.java,4
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/MojoParameters.java,4
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/MojoTest.java,3
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/ResolverExpressionEvaluatorStub.java,4
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/ArtifactStub.java,6
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/LookupStub.java,2
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/MojoExecutionStub.java,5
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/PluginStub.java,2
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/ProducedArtifactStub.java,2
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/ProjectStub.java,9
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/SessionMock.java,6
impl/maven-testing/src/main/java/org/apache/maven/api/plugin/testing/stubs/SessionStub.java,9
impl/maven-testing/src/site/apt/examples/artifact.apt,3
impl/maven-testing/src/site/apt/examples/complex-mojo-parameters.apt,4
impl/maven-testing/src/site/apt/examples/multiproject.apt,3
impl/maven-testing/src/site/apt/examples/repositories.apt,4
impl/maven-testing/src/site/apt/getting-started/index.apt,7
